"","year","rvc.n.SSU","rvc.n.PSU","rvc.freq.occ","reef.n.surveys","reef.n.sites","reef.freq.occ"
"1",1999,594,170,0.599326599326599,53,7,0.452830188679245
"2",2000,612,207,0.509803921568627,21,4,0.666666666666667
"3",2001,NA,NA,NA,159,11,0.528301886792453
"4",2002,NA,NA,NA,142,10,0.591549295774648
"5",2003,NA,NA,NA,137,11,0.642335766423358
"6",2004,929,310,0.502691065662002,94,10,0.48936170212766
"7",2005,NA,NA,NA,54,7,0.574074074074074
"8",2006,754,253,0.396551724137931,66,8,0.333333333333333
"9",2007,NA,NA,NA,8,1,0.375
"10",2008,1115,338,0.469955156950673,3,3,0.666666666666667
"11",2010,1189,364,0.497056349873844,NA,NA,NA
"12",2012,1565,416,0.568051118210863,NA,NA,NA
"13",2013,NA,NA,NA,1,1,0
"14",2014,1244,358,0.508842443729904,NA,NA,NA
"15",2015,NA,NA,NA,4,2,0.25
"16",2016,907,286,0.442116868798236,NA,NA,NA
"17",2018,1366,338,0.584919472913616,NA,NA,NA
"18",2019,NA,NA,NA,3,2,1
"19",2021,647,299,0.618238021638331,NA,NA,NA
"20",2023,681,306,0.672540381791483,NA,NA,NA
"21",2024,828,387,0.643719806763285,NA,NA,NA
